material_id,bulkMod,shearMod,vol/atom,band_gap,density,energy_per_atom,formation_energy_per_atom,total_magnetization,atomic_mass,atomic_number,boiling_point,column,electronegativity,melting_point,row
mp-20581,25,13,32.87477638,0.0,2.968180056,-2.407632058,-0.217294936,0.0003765,58.763,27.25,1904.0,4.75,1.195,943.6875,4.25
mp-38970,22,15,33.18416031,0.6375,5.226649482,-3.416656238,-0.316313784,0.00037985,104.4492,43.6,1747.4,14.8,1.984,554.76,4.6
mp-972866,125,22,19.07879133,0.0,8.557766115,-6.12730135,-0.845593515,0.000109,98.32459825,41.75,3142.75,6.75,1.865,1698.345,4.75
mp-82,26,7,31.29580687,0.0,10.84447032,-2.367207755,0.0,9e-07,204.3833,81.0,1746.0,13.0,1.62,577.0,6.0
mp-866287,88,17,21.90658768,0.0,12.7941142,-4.478902573,-0.688284996,1.25e-05,168.7857845,68.5,2993.25,12.0,2.065,1214.935,6.25
mp-971958,59,20,22.77617775,0.0,9.801893709,-5.013711665,-0.302629376,1.21e-05,134.444098,55.5,1804.75,15.0,1.485,1442.825,6.75
mp-765526,114,63,8.801238776,1.9121,3.59680171,-4.791828023,-2.562342982,2.0002328,19.0638762,9.0,1047.03625,10.0,2.52875,413.0575,2.25
mp-9929,137,79,16.36612,0.0,6.538644133,-6.292944636,-0.610381817,2.9e-06,64.444275,29.0,2985.5,11.0,1.8275,1565.6925,4.0
mp-10896,101,76,14.68147757,0.0,4.563415628,-5.960933473,-0.338686809,0.0023429,40.34694914,18.69230769,2713.923077,10.38461538,1.561538462,1180.212308,3.461538462
mp-974583,125,33,21.9501217,0.0,12.84236373,-7.396929803,-0.594655187,0.0002322,169.759,69.0,3712.75,8.0,1.6775,2030.0,7.0
mp-20541,207,102,12.76647206,0.0,5.760240285,-8.647269945,-0.786254762,0.00011385,44.28558733,20.33333333,2636.666667,8.333333333,1.816666667,1561.1,3.666666667
mp-4586,26,13,30.72887647,2.4411,3.905929194,-3.69889551,-0.713668987,0.0,72.28063465,30.0,1732.25,11.5,1.6975,708.12,3.75
mp-866191,42,34,17.37189434,0.0,5.138016911,-3.016418153,-0.32388074,7e-07,53.751875,22.5,1968.0,8.0,1.24,922.845,3.75
mp-977128,172,43,14.74011818,0.0,9.186959108,-6.470976243,0.81443608,0.8940366,81.54994232,35.75,3606.25,6.25,1.8825,2047.9675,4.5
mp-4370,81,34,20.48572324,0.0,7.300167386,-5.049713746,-0.776245262,5e-06,90.06064,39.2,1980.2,10.4,1.942,1377.22,4.6
mp-583266,52,12,18.29946849,0.0,4.070435147,-1.507948908,-0.069368015,3.9e-07,44.857,21.0,1271.5,7.0,1.48,807.84,3.5
mp-1016825,161,80,13.50825377,0.7745,6.165888008,-7.911723032,-3.06006021,0.0003259,50.15864,21.6,1301.92,10.8,2.586,718.68,3.0
mp-2151,50,24,20.14544419,0.0,2.094692135,-2.515028889,-0.023617424,2e-07,25.41253321,12.4137931,1954.310345,6.551724138,1.434137931,927.3324138,3.0
mp-20203,128,24,12.55498891,0.0,6.589160827,-6.377914851,-0.155136225,2.934006175,49.819269,23.0,2028.0,11.0,1.88,1064.69,3.666666667
mp-631314,92,6,22.63967078,0.0,10.14943897,-5.189887287,1.151015517,0.0021903,138.3767267,56.66666667,3620.333333,5.333333333,1.533333333,1889.31,5.333333333
mp-976254,19,1,20.09805985,0.0,0.932139798,-1.856470345,-0.024407117,0.0003048,11.282,5.25,1552.0,1.25,1.0625,571.0175,2.25
mp-10293,40,11,23.87241205,2.1132,3.741073122,-6.70622093,0.085626011,7.97e-05,53.7828,22.66666667,3581.0,10.0,1.996666667,2866.666667,3.333333333
mp-977182,113,20,18.95486287,0.0,6.607795398,-7.167662288,0.745339974,0.0006278,75.42722732,33.5,4051.75,4.0,1.4325,2155.2175,4.5
mp-1025420,121,68,16.9919112,0.0,6.479781251,-6.171296445,-0.834257411,0.0,66.3061,29.5,2902.0,11.5,1.72,1611.75,4.5
mp-16731,121,118,21.05284669,0.0,4.727740119,-7.014740165,-1.076150916,4.28e-05,59.939806,27.0,2079.5,9.0,1.705,1058.15,4.0
mp-1014261,188,77,12.55791802,0.0,9.882718053,-6.77866465,-1.001897074,0.00012675,74.7386,31.0,1627.133333,13.66666667,3.026666667,949.5333333,3.333333333
mp-754364,145,59,12.68420742,0.0,5.710750382,-7.918958657,-3.066528336,0.0002763,43.62218571,19.85714286,1539.828571,11.57142857,2.585714286,739.2814286,3.142857143
mp-862619,51,20,23.62932944,0.0,7.094842085,-3.36013049,-0.36535536,6.1e-06,100.959,42.25,2361.5,10.25,1.445,778.7975,5.0
mp-11023,134,43,14.23388084,1.7633,7.988983926,-7.092901755,-2.574029336,1.74e-05,68.48032025,29.0,1603.1,11.5,2.695,815.2325,3.5
mp-811,148,63,19.94848514,0.0,15.43776233,-5.851806035,-0.483683008,9.85e-05,185.4578333,74.33333333,3772.166667,8.666666667,2.048333333,1867.833333,6.0
mp-754537,105,51,11.67805173,4.7738,7.604020783,-7.055342093,-3.330262766,1.56e-05,53.4767,22.5,1367.6,12.5,2.2825,622.0725,3.5
mp-132,17,10,42.41540913,0.0,1.569030808,-1.99740221,0.005761172,0.00018935,40.078,20.0,1757.0,2.0,1.0,1115.0,4.0
mp-867117,113,41,17.53090572,0.0,8.253528301,-6.505848275,-0.799218302,2.7e-06,87.135456,37.25,3376.0,6.75,1.725,1756.7925,4.5
mp-978808,55,31,24.41922901,0.0,7.409624414,-3.896114393,-0.460424772,8.49e-05,108.963,46.25,1952.25,10.25,1.45,921.3975,6.0
mp-866120,69,23,24.91917653,0.0,10.83050945,-3.87295277,-0.334127911,4.27e-05,162.52998,66.5,2156.75,13.5,1.5125,1361.9825,6.75
mp-972048,69,50,16.60320086,0.0,6.977977238,-2.67085998,-0.028102264,0.2329921,69.77057143,31.71428571,1713.142857,11.14285714,1.722857143,1007.44,4.142857143
mp-962071,26,38,27.55559316,0.0,5.496729156,-3.187296297,0.248284395,0.000505,91.21473733,38.0,2070.666667,6.0,1.43,1104.666667,4.333333333
mp-1016442,15,8,25.91761671,0.0,2.428032871,-1.809223358,-0.015572329,0.0078009,37.896625,17.625,1538.75,3.375,1.3275,861.36375,3.375
mp-866169,23,6,34.24930686,0.0,7.961601006,-2.631163003,-0.195414311,3.9e-06,164.211325,66.0,1590.25,10.5,1.52,508.7325,5.5
mp-862769,4,10,30.23197146,0.0,4.166014171,-3.709318263,0.011874509,2.8e-05,75.84695,33.25,2560.0,10.75,1.7125,986.665,4.25
mp-978846,20,5,45.57053197,1.2048,4.524724029,-2.837960933,-0.488788958,0.0004125,124.17298,52.0,1263.266667,16.0,2.426666667,426.26,5.0
mp-10810,9,8,15.25644325,0.2912,3.669678391,-5.265064753,-2.85854434,1.0,33.7157024,15.375,813.1475,14.625,3.41875,437.13875,2.625
mp-1023193,43,25,23.12925802,0.0,2.502145564,-2.598977399,0.11881164,0.0100585,34.8517975,16.625,1869.0,2.375,1.3075,1175.375,3.375
mp-861953,193,38,13.63629814,0.0,8.787097064,-7.328089295,-0.597603477,4.2794731,72.15938465,32.25,3465.5,9.75,2.0,1804.6175,4.25
mp-8753,17,9,36.69526381,0.9356,2.708215682,-2.59039699,-0.366880357,1.43e-05,59.84724629,26.57142857,836.84,6.571428571,1.38,316.4342857,4.0
mp-570632,58,30,27.50241279,0.0,7.666075754,-5.770877495,-0.654155347,0.0002855,126.968156,52.0,2470.0,9.0,1.69,1179.2,5.0
mp-861958,153,53,13.06282,0.0,5.074744447,-7.37040133,-0.19637273,0.0001212,39.92105675,18.25,3049.0,4.25,1.55,1740.25,3.5
mp-22276,118,22,14.70917752,0.0,8.004767412,-6.83680628,0.208281519,0.0043512,70.90682125,31.5,2553.25,9.0,1.69,1308.9375,4.25
mp-865434,157,71,18.04119021,0.0,10.77647733,-8.498975235,-0.592451247,5.89e-05,117.08275,49.75,4300.75,9.25,1.75,2316.75,5.75
